ip,prefix,as_number,country_code,description
199.203.63.53,199.203.22.0/23,1680,IL,NV-ASN 013 NetVision Ltd.
50.51.72.97,50.50.134.0/23,5650,US,"FRONTIER-FRTR - Frontier Communications of America, Inc."
63.131.206.210,63.131.192.0/20,26133,US,FEWPB - Frankfort Plant Board
185.57.28.71,185.57.28.0/24,44724,RU,OCTOPUSNET-AS
35.156.176.201,35.156.0.0/14,16509,US,"AMAZON-02 - Amazon.com, Inc."
70.92.67.52,70.92.64.0/19,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
193.243.174.67,193.243.172.0/22,197018,RU,ASMJKTELECOM
98.5.245.61,98.4.0.0/15,11351,US,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
93.140.53.233,93.140.0.0/16,5391,HR,T-HT Croatian Telecom Inc.
201.82.60.148,201.82.0.0/16,28573,BR,CLARO S.A.
104.44.195.73,104.44.113.0/24,8075,Unknown,AS8075
74.137.136.41,74.128.0.0/13,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
173.238.148.232,173.238.0.0/16,7992,CA,COGECOWAVE - Cogeco Cable
63.130.77.186,63.130.0.0/18,1273,EU,CW Vodafone Group PLC
78.188.168.150,78.188.168.0/24,9121,TR,TTNET
172.98.67.110,172.98.67.0/24,46562,US,TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.
24.55.249.170,24.55.192.0/18,7992,CA,COGECOWAVE - Cogeco Cable
177.64.194.7,177.64.192.0/19,28573,BR,CLARO S.A.
76.217.166.49,76.216.132.0/22,7018,US,"ATT-INTERNET4 - AT&T Services, Inc."
62.210.108.216,62.210.0.0/16,12876,FR,AS12876
75.83.59.237,75.82.0.0/15,20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
196.52.2.50,196.52.2.0/24,32780,US,"HOSTINGSERVICES-INC - Hosting Services, Inc."
78.142.29.169,78.142.29.0/24,206349,BG,AS206349
98.148.98.40,98.148.0.0/15,20001,US,ROADRUNNER-WEST - Time Warner Cable Internet LLC
24.165.153.201,24.165.128.0/18,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
167.114.210.142,167.114.192.0/19,16276,FR,OVH
98.143.76.75,98.143.64.0/20,7057,CA,MANAGEDNETWORK - Managed Network Systems Inc.
24.105.44.99,24.105.40.0/21,57976,EU,BLIZZEU-AS
24.210.208.255,24.210.128.0/17,10796,US,SCRR-10796 - Time Warner Cable Internet LLC
108.247.54.209,108.244.192.0/18,7018,US,"ATT-INTERNET4 - AT&T Services, Inc."
209.58.146.198,209.58.144.0/20,394380,US,"LEASEWEB-USA-DAL-10 - Leaseweb USA, Inc."
142.112.235.153,142.112.0.0/16,577,CA,BACOM - Bell Canada
109.236.84.91,109.236.80.0/20,49981,NL,WORLDSTREAM +++ Transit Imports
93.78.100.45,93.78.96.0/20,25229,UA,VOLIA-AS
5.63.151.12,5.63.144.0/21,29302,EU,HSI-EUROPE
98.143.76.75,98.143.64.0/20,7057,CA,MANAGEDNETWORK - Managed Network Systems Inc.
34.201.49.85,34.192.0.0/12,14618,US,"AMAZON-AES - Amazon.com, Inc."
59.55.137.188,59.55.128.0/19,4134,CN,"CHINANET-BACKBONE No.31,Jin-rong Street"
85.105.180.25,85.105.180.0/22,9121,TR,TTNET
167.114.0.174,167.114.0.0/17,16276,FR,OVH
108.61.68.147,108.61.64.0/19,20473,US,"AS-CHOOPA - Choopa, LLC"
82.145.48.49,82.145.32.0/19,20860,GB,IOMART-AS
24.105.44.101,24.105.40.0/21,57976,EU,BLIZZEU-AS
112.209.7.189,112.209.0.0/19,9299,PH,IPG-AS-AP Philippine Long Distance Telephone Company
